episode,reward,length,win
891,831.9000,169,0
892,781.6000,443,0
893,570.9000,108,0
894,77.6000,20,0
895,733.0000,345,0
896,477.6000,74,0
897,866.8000,152,0
898,785.4000,246,0
899,546.5000,67,0
900,428.8000,56,0
901,108.5000,18,0
902,26.0000,13,0
903,828.9000,225,0
904,737.1000,755,0
905,311.9000,40,0
906,544.2000,71,0
907,568.5000,275,0
908,834.0000,289,0
909,808.6000,299,0
910,575.3000,83,0
911,442.5000,60,0
912,210.4000,36,0
913,872.8000,194,0
914,106.1000,22,0
915,353.0000,45,0
916,343.3000,45,0
917,800.2000,129,0
918,850.8000,165,0
919,108.3000,20,0
920,37.4000,14,0
921,108.6000,17,0
922,528.2000,69,0
923,567.9000,66,0
924,500.2000,103,0
925,519.4000,69,0
926,1025.1000,235,0
927,711.5000,103,0
928,645.2000,94,0
929,718.3000,89,0
930,331.5000,43,0
931,822.6000,212,0
932,129.4000,25,0
933,597.3000,112,0
934,736.8000,111,0
935,755.4000,103,0
936,762.5000,173,0
937,57.9000,12,0
938,835.0000,491,0
939,757.8000,110,0
940,672.3000,85,0
941,659.2000,78,0
942,886.7000,194,0
943,108.6000,17,0
944,118.5000,24,0
945,287.1000,44,0
946,425.4000,54,0
947,534.4000,68,0
948,137.5000,24,0
949,412.3000,55,0
950,687.0000,106,0
951,826.2000,148,0
952,431.2000,56,0
953,370.8000,56,0
954,167.1000,25,0
955,320.7000,44,0
956,532.3000,75,0
957,504.6000,66,0
958,918.3000,200,0
959,119.9000,21,0
960,524.3000,107,0
961,934.0000,667,0
962,229.1000,38,0
963,735.6000,148,0
964,341.2000,44,0
965,331.5000,39,0
966,828.2000,699,0
967,179.8000,26,0
968,532.6000,86,0
969,363.0000,52,0
970,556.8000,67,0
971,658.6000,91,0
972,47.5000,13,0
973,551.2000,81,0
974,463.5000,66,0
975,216.9000,34,0
976,187.5000,38,0
977,73.3000,22,0
978,166.8000,25,0
979,404.3000,52,0
980,488.8000,68,0
981,130.2000,21,0
982,415.0000,54,0
983,853.4000,259,0
984,98.3000,17,0
985,343.7000,42,0
986,795.9000,111,0
987,217.9000,45,0
988,759.8000,240,0
989,383.6000,48,0
990,804.2000,122,0
991,453.6000,63,0
992,437.3000,72,0
993,907.8000,431,0
994,118.0000,25,0
995,437.5000,60,0
996,559.1000,76,0
997,555.3000,69,0
998,472.9000,68,0
999,539.3000,93,0
1000,179.0000,30,0
1001,97.2000,18,0
1002,796.8000,174,0
1003,408.1000,49,0
1004,431.3000,53,0
1005,481.5000,72,0
1006,66.7000,14,0
1007,57.0000,14,0
1008,866.2000,210,0
1009,766.2000,161,0
1010,790.7000,105,0
1011,428.8000,67,0
1012,57.6000,12,0
1013,475.1000,59,0
1014,68.2000,15,0
1015,542.3000,74,0
1016,645.0000,78,0
1017,907.6000,209,0
1018,856.1000,175,0
1019,380.1000,54,0
1020,150.9000,29,0
1021,108.6000,22,0
1022,674.8000,80,0
1023,895.3000,165,0
1024,871.9000,226,0
1025,535.7000,68,0
1026,523.6000,70,0
1027,178.6000,26,0
1028,328.0000,48,0
1029,250.0000,35,0
1030,85.0000,15,0
1031,527.6000,64,0
1032,293.3000,38,0
1033,138.6000,22,0
1034,169.9000,23,0
1035,796.7000,166,0
1036,321.0000,44,0
1037,778.0000,105,0
1038,532.5000,136,0
1039,855.1000,192,0
1040,178.4000,24,0
1041,494.7000,61,0
1042,888.8000,151,0
1043,730.2000,92,0
1044,472.3000,71,0
1045,821.6000,277,0
1046,280.1000,43,0
1047,299.3000,42,0
1048,991.2000,453,0
1049,49.1000,13,0
1050,340.3000,46,0
1051,445.0000,54,0
1052,99.4000,17,0
1053,328.9000,54,0
1054,48.5000,12,0
1055,201.8000,26,0
1056,770.3000,135,0
1057,220.8000,28,0
1058,876.4000,364,0
1059,201.8000,26,0
1060,406.4000,54,0
1061,477.7000,68,0
1062,190.2000,25,0
1063,415.7000,56,0
1064,179.5000,28,0
1065,812.3000,359,0
1066,852.5000,157,0
1067,686.5000,376,0
1068,831.6000,194,0
1069,481.4000,58,0
1070,107.3000,25,0
1071,606.8000,75,0
1072,716.7000,89,0
1073,520.2000,67,0
1074,119.7000,20,0
1075,478.4000,67,0
1076,1037.1000,623,0
1077,879.8000,146,0
1078,598.2000,88,0
1079,560.9000,73,0
1080,553.0000,78,0
1081,199.0000,30,0
1082,1142.0000,324,0
1083,98.2000,21,0
1084,188.2000,29,0
1085,1000.7000,358,0
1086,142.6000,24,0
1087,809.9000,181,0
1088,452.8000,61,0
1089,1054.2000,380,0
1090,780.7000,120,0
1091,320.7000,42,0
1092,672.1000,84,0
1093,353.9000,43,0
1094,215.2000,29,0
1095,749.9000,99,0
1096,639.7000,82,0
1097,78.2000,15,0
1098,676.6000,80,0
1099,821.3000,141,0
1100,916.4000,348,0
1101,384.1000,60,0
1102,189.6000,27,0
1103,805.3000,140,0
1104,353.3000,49,0
1105,283.6000,47,0
1106,672.3000,97,0
1107,199.5000,27,0
1108,168.4000,25,0
1109,576.8000,67,0
1110,544.9000,65,0
1111,180.0000,24,0
1112,454.0000,59,0
1113,613.6000,79,0
1114,788.6000,102,0
1115,855.7000,131,0
1116,919.0000,129,0
1117,47.2000,13,0
1118,505.6000,58,0
1119,192.1000,46,0
1120,598.8000,73,0
1121,74.1000,14,0
1122,204.7000,32,0
1123,812.8000,154,0
1124,907.2000,156,0
1125,616.4000,98,0
1126,871.9000,126,0
1127,365.7000,70,0
1128,441.6000,62,0
1129,978.2000,179,0
1130,139.0000,25,0
1131,328.7000,50,0
1132,140.1000,22,0
1133,968.7000,189,0
1134,786.0000,191,0
1135,721.0000,88,0
1136,58.9000,13,0
1137,921.8000,210,0
1138,190.5000,25,0
1139,137.0000,26,0
1140,812.5000,176,0
1141,460.4000,81,0
1142,351.4000,47,0
1143,232.0000,34,0
1144,845.6000,119,0
1145,717.6000,83,0
